,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,HOUR_APPR_PROCESS_START,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,ANNUITY_INCOME_PERC,PAYMENT_RATE
48071,155675,0,1,1,1,0.022625,-16915,-377.0,-415,1,0,1,0,0,11,0.759375421072211,0.7106743858828587,0.1434206662533851,0.100048941237887,-1206.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0583333333333333,0.05
51476,159610,0,1,0,0,0.0196889999999999,-13124,-728.0,-1032,1,0,1,0,0,12,0.3448729867006233,0.5108529061800121,0.0,0.0,-587.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.2680666666666667,0.0650952712437875
156680,281605,0,1,0,0,0.01885,-17432,-3213.0,-984,1,1,1,1,0,13,0.3600081992242753,0.4223696523543468,0.0,0.0,-913.0,0.0,0.0,1.0,0.0,0.0,3.0,0.1181111111111111,0.0563427561837455
220214,355116,1,0,1,0,0.018801,-13855,-2417.0,-4675,1,0,1,0,1,9,0.5582699649851002,0.5620604831738043,0.0,0.0,-1758.0,0.0,0.0,0.0,0.0,0.0,4.0,0.089425,0.0484951193058568
62939,173009,0,1,0,0,0.0145199999999999,-20239,-824.0,-3744,1,0,1,0,0,9,0.6161202206295004,0.5108529061800121,0.0,0.0,-2140.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.2562666666666666,0.0512533333333333
216821,351230,0,1,1,0,0.030755,-22063,-2946.0,-4436,1,0,1,0,0,15,0.2405074795206034,0.6092756673894402,0.0,0.0,-1985.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1524285714285714,0.0643391220453449
274630,418306,0,1,0,1,0.006629,-8536,-5905.0,-1224,1,0,1,0,0,8,0.3890943449585623,0.5108529061800121,0.0,0.0,-556.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.3127333333333333,0.04691
195281,326442,0,1,0,0,0.002506,-17871,-1124.0,-1403,1,0,1,0,0,9,0.6545669669018611,0.5172965813614878,0.0,0.0,-689.0,0.0,0.0,0.0,0.0,1.0,3.0,0.1150375,0.0574068067268825
292834,439250,0,1,0,1,0.032561,-14227,-8102.0,-4364,1,1,1,1,0,17,0.7589516179507315,0.5108529061800121,0.0,0.0,-18.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1233331206533529,0.03866
36428,142191,0,0,0,0,0.020713,-8527,-3310.0,-992,1,0,1,0,0,5,0.2016118400532439,0.5108529061800121,0.0,0.0,0.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1163333333333333,0.0512722571546101
190822,321269,0,0,0,1,0.018209,-8887,-574.0,-1553,1,0,1,1,0,11,0.4982306167478393,0.5108529061800121,1.0,1.0,-472.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1102857142857142,0.113663133097762
39235,145443,0,1,0,0,0.035792,-22170,-5511.0,-4132,1,0,1,0,0,19,0.215072032545397,0.5108529061800121,0.0,0.0,-1586.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3266666666666666,0.098
184779,314188,0,1,0,0,0.025164,-8301,-398.0,-987,1,0,1,0,1,13,0.3953235616458393,0.3689687382528466,0.0,0.0,-1214.0,0.0,0.0,0.0,0.0,0.0,1.0,0.199725,0.0792968594910072
224962,360577,0,1,0,0,0.018634,-23862,-6535.0,-3555,1,0,1,0,0,11,0.6113457717730462,0.5108529061800121,0.0,0.0,-1462.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.2304,0.0982432201944397
