,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_CITY_NOT_LIVE_CITY,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_7,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,ANNUITY_INCOME_PERC,PAYMENT_RATE
155175,279881,0,1,0,0,0.022625,-24852,-11549.0,-4196,1,0,1,0,0,13,0,0,0.609848340896533,0.5108529061800121,0.0,0.0,-345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.2771,0.0979151943462897
137229,259158,1,1,0,0,0.020713,-12971,-3500.0,-4703,1,0,1,0,0,13,0,0,0.0656183849444946,0.6479768603302221,0.0,0.0,-560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.1867,0.0545321779768279
213728,347661,0,0,1,0,0.030755,-15667,-5957.0,-4674,1,0,1,0,0,16,0,0,0.6362382882836366,0.5779691187553125,0.0,0.0,-2232.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.1845142857142857,0.0360782122905027
196083,327373,0,1,0,0,0.009549,-11167,-5239.0,-3584,1,0,1,0,0,10,0,0,0.5406729858867209,0.3893387918468769,0.0,0.0,-1619.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,1.0,2.0,0.234125,0.0293297839022862
143169,266012,0,1,0,1,0.025164,-13458,-7157.0,-4339,1,0,1,0,0,9,0,0,0.4904906320015819,0.5442347412142162,0.0,0.0,-290.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,4.0,0.26,0.05
240135,378126,0,1,0,0,0.0228,-22853,-3078.0,-4299,1,0,1,0,0,10,0,0,0.1069120350417138,0.5226973172821112,1.0,1.0,-1917.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.3522,0.0293989983305509
147147,270610,0,1,0,0,0.001417,-17934,-3328.0,-1490,1,0,1,0,1,8,0,0,0.3615917543140494,0.4686596550493113,0.0,0.0,-2026.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.5696666666666667,0.0425124378109452
12617,114711,1,0,1,0,0.035792,-11446,-511.0,-1440,1,0,1,0,0,14,0,0,0.1543824338484149,0.5108529061800121,0.0,0.0,-32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.221875,0.0512224120417397
77641,190024,0,1,0,0,0.035792,-23898,-2866.0,-4958,1,0,1,1,0,12,0,0,0.7044381270637132,0.7726311345553628,0.0,0.0,-1812.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.2549333333333333,0.0695905368516833
2344,102743,0,1,0,1,0.020713,-8476,-4394.0,-316,1,0,1,0,0,10,0,0,0.3682762644498853,0.1342654235549427,0.0,0.0,-232.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0,0.1563043478260869,0.1058598351001177
